2017-10-22 23:10:03,893 [onode        27] [INFO ]  logging for the first time 
2017-10-22 23:10:07,615 [replica_1    361] [DEBUG]  shuttle after update: ([b'\xdeH\x0c\xcb\n\x1f\xdb\x11%\xee\x83\xc8v\x0e0\x97\xed\x94\xf0m\xd5&?\xa7\xd2\xce\x1f\x12g\x8bi\xfe\x83(o\xfb\x88\x01A\x8f\x08\x1f/8B*\xb3\xb4\xcbn\xb9\xff\xf5\xd0.@v\xb3\x1bH\xb2\xad\xff\x00(1, "put(\'movie\',\'star\')")', b'\x10\x80\xc2\xdd\x9e$\xfb.7\x1aH\x06JK\xac\x88\xc07\x91\x10Fy\xd41\xe3.\x9d\xb4\x14\xe8\x83zq\xdc{t\x01X\n\xd9\xf1\x19\x80\xf6\'a\x05\xe2\x87"\xd3\x99\xf3\xe6\xb2\x90\x0c\x10@\x07A\xc1\xf2\x02(1, "put(\'movie\',\'star\')")'], [b'A\xaf\x1bGRD\xcd\xc8_\xe4d3\x8e\x1f\x16{\x1a]\\\xd3\xf2\xad\xdd~?\xf7/\xbd\x05\x89\xd1\r\xbfE\xc3\xcbv\xd3F\xbf\xe9)\xe7F\xd4\xc4\xa2;\xee\x80o\x15\xff\x07\x85\x01g\xda\x01\']y\xc2\x06(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')', b'\xb0_\x92\x01#\n\xf8\xb0\x93q.\x0e\x0c$\xd2\x1b\xfe\x11\xff\x90\xcf\xacJf}\xc7\xb74\xd6\xe7Z\x97\x17\xba\xbb\xba\xb2)\xfc\xfdcc-?\x96#\xec\xcb}!\xe6\xd8\x12\x1c\x9b\xdc\x9a\x8c\x99SO\xf1\x9b\x05(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')'])
2017-10-22 23:10:07,616 [replica_0    339] [INFO ]  PERFORM_OPERATION done at HeadReplica, transfering SHUTTLE to nextReplica : <Replica:82002#replica_1>
2017-10-22 23:10:07,619 [replica_1    203] [INFO ]  updating OrderProof and ResultProof !!
2017-10-22 23:10:07,620 [replica_1    245] [INFO ]  CheckForPossibleFailure : {<Client:85802#client_1>: {'forwardRequestCounter': 0, 'directRequestCounter': 0, 'shuttleCounter': 0, 'resultShuttleCounter': 0}, <Client:c3002#client_0>: {'forwardRequestCounter': 0, 'directRequestCounter': 0, 'shuttleCounter': 1, 'resultShuttleCounter': 0}}, self.failureDS : {}, client : <Client:c3002#client_0>
2017-10-22 23:10:07,623 [replica_1    397] [DEBUG]  counters : {<Client:85802#client_1>: {'forwardRequestCounter': 0, 'directRequestCounter': 0, 'shuttleCounter': 0, 'resultShuttleCounter': 0}, <Client:c3002#client_0>: {'forwardRequestCounter': 0, 'directRequestCounter': 0, 'shuttleCounter': 1, 'resultShuttleCounter': 0}}
2017-10-22 23:10:07,624 [replica_1    398] [INFO ]  TriggerName Found => None
2017-10-22 23:10:07,627 [replica_1    126] [DEBUG]  getUnsignedData for request_id_en : b"\xb8\xd1\x11\x14\xd8\x16V\xc0,\xc7\xab\xb3\xcd$#\xa1!\x1f5/\xcd\xdd<(\r\xbbXd\x13V\xe5,[:^|'\xbca\x8c\x82\x97\xf2\xba\xb2\xc5\xceq\x0ca\x8a\xf7\xeb|\xd5\x82\xfb\xa7z\x13J\xd6G\x0810ee4619-1471-4469-927a-e2d0afc44b61"
2017-10-22 23:10:07,628 [replica_1    138] [DEBUG]  request_id : 10ee4619-1471-4469-927a-e2d0afc44b61, unsigned successfully
2017-10-22 23:10:07,628 [replica_2    126] [DEBUG]  getUnsignedData for request_id_en : b'L\xd5\xde \x9f\x8c/\xa7\xc3l\xa8\xee\x85\xc9[\xbc\x10\xf0\xfb2\x1c\x16\xc5\x91\xcc\x08&\x89\x90\xb9s\xd7\xd2\xe0o\xfb\xc5\x94\xa9;J90D\xabr\xe4\x19\xe3/\xbe{\xd5\xcb\x9652\xcd\\\xfc\xb5Z\x82\x01ed45b61a-006e-4948-83ea-15365f7702be'
2017-10-22 23:10:07,629 [replica_1    346] [INFO ]  PERFORM_OPERATION called at NONHEAD Replica request_id : 10ee4619-1471-4469-927a-e2d0afc44b61, operation : put('movie','star'), client : <Client:85802#client_1>, from Replica : <Replica:d2002#replica_0>
2017-10-22 23:10:07,629 [replica_1    347] [DEBUG]  SHUTTLE : ([b'\xb3T\x97\xb2\xe6k\xabC\x05\x07^R\xfa\xc0|\x03\xdc|\x03 D\xc8\x9d\xfc\xde\xfe]gO\x00W\xc6\x19"\x87\x0f\x99\x1c\x1f\xfaH\x81okS\x1f\xfc\xa4\xa6\xf8\xb4\x93\xb6\x10v\xb25\xd8\xf5\xe541\xe4\x05(2, "put(\'movie\',\'star\')")'], [b'A\xaf\x1bGRD\xcd\xc8_\xe4d3\x8e\x1f\x16{\x1a]\\\xd3\xf2\xad\xdd~?\xf7/\xbd\x05\x89\xd1\r\xbfE\xc3\xcbv\xd3F\xbf\xe9)\xe7F\xd4\xc4\xa2;\xee\x80o\x15\xff\x07\x85\x01g\xda\x01\']y\xc2\x06(\'ok\', "put(\'movie\',\'star\')", b\'75db4aa93bd27850bc6dff0c8ba9420193961504b96d39627595f3aa8e60af63\')']), SLOT : 2
2017-10-22 23:10:07,630 [replica_2    138] [DEBUG]  request_id : ed45b61a-006e-4948-83ea-15365f7702be, unsigned successfully
2017-10-22 23:10:07,630 [replica_1    223] [DEBUG]  the slots are consistent
2017-10-22 23:10:07,630 [replica_2    346] [INFO ]  PERFORM_OPERATION called at NONHEAD Replica request_id : ed45b61a-006e-4948-83ea-15365f7702be, operation : put('movie','star'), client : <Client:c3002#client_0>, from Replica : <Replica:82002#replica_1>
2017-10-22 23:10:07,631 [replica_1    351] [DEBUG]  the value for checkSlotOperation is True
